epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3751,0.96906,1.4094,1.29622,0.66151,0.83884,0.79434,0.66383,0.69768,1.13478,0.98572,0.0701538,0.00331624,0.00331624
2,21.4831,0.96757,1.37425,1.29051,0.59129,0.78583,0.69884,0.55677,0.74288,1.20202,0.994,0.04011,0.00660569,0.00660569
3,31.6586,0.95976,1.34021,1.28936,0.45056,0.89375,0.66699,0.55066,0.67614,1.11439,0.99099,0.0100221,0.00985113,0.00985113
4,41.5863,0.95779,1.3407,1.2822,0.61642,0.87102,0.7861,0.67681,0.56648,0.98994,0.9263,0.009802,0.009802,0.009802
5,51.5319,0.90702,1.27648,1.24872,0.60439,0.92022,0.72215,0.62925,0.56844,0.93376,0.92033,0.009736,0.009736,0.009736
6,61.4822,0.89202,1.19077,1.23724,0.6072,0.88678,0.81667,0.71322,0.54294,0.93749,0.91647,0.00967,0.00967,0.00967
7,71.5034,0.8582,1.16587,1.20884,0.59103,0.81834,0.69399,0.57923,0.66081,1.17786,0.96865,0.009604,0.009604,0.009604
8,81.4637,0.82665,1.09816,1.17718,0.67322,0.79714,0.85962,0.73027,0.63286,1.03463,0.93478,0.009538,0.009538,0.009538
9,91.4932,0.82457,1.11251,1.19125,0.79209,0.88293,0.9117,0.80915,0.49667,0.71272,0.89479,0.009472,0.009472,0.009472
10,101.455,0.81246,1.04949,1.17471,0.83544,0.89169,0.9635,0.83683,0.53058,0.75536,0.90987,0.009406,0.009406,0.009406
11,111.431,0.79265,1.01388,1.15387,0.87386,0.83587,0.93695,0.83447,0.47373,0.72804,0.88166,0.00934,0.00934,0.00934
12,121.424,0.78119,1.00042,1.15692,0.58942,0.75979,0.77266,0.66572,0.55396,1.21498,0.92661,0.009274,0.009274,0.009274
13,131.366,0.76004,0.96381,1.15095,0.76005,0.88419,0.93877,0.82656,0.50036,0.77415,0.88252,0.009208,0.009208,0.009208
14,141.345,0.74383,0.92063,1.13379,0.95647,0.90118,0.96415,0.85635,0.49965,0.66285,0.89473,0.009142,0.009142,0.009142
15,151.377,0.75976,0.95328,1.13546,0.80744,0.87118,0.97078,0.87433,0.45939,0.6778,0.86922,0.009076,0.009076,0.009076
16,161.331,0.71694,0.8938,1.11847,0.83637,0.85391,0.96238,0.86518,0.49325,0.70825,0.86813,0.00901,0.00901,0.00901
17,171.285,0.7253,0.90008,1.11957,0.95594,0.92177,0.97533,0.86501,0.48942,0.6232,0.87894,0.008944,0.008944,0.008944
18,181.276,0.74524,0.87104,1.11717,0.94408,0.979,0.98703,0.84097,0.57515,0.6349,0.93191,0.008878,0.008878,0.008878
19,191.272,0.71017,0.87047,1.10617,0.79722,0.87547,0.96824,0.85899,0.4976,0.64984,0.88208,0.008812,0.008812,0.008812
20,201.264,0.70995,0.84796,1.1089,0.96149,0.91327,0.97639,0.88067,0.47493,0.58362,0.87534,0.008746,0.008746,0.008746
21,211.276,0.68828,0.81755,1.10165,0.87459,0.84618,0.96668,0.86596,0.4875,0.62725,0.87214,0.00868,0.00868,0.00868
22,221.362,0.69728,0.80534,1.09723,0.94913,0.93605,0.98458,0.89034,0.46976,0.50691,0.8647,0.008614,0.008614,0.008614
23,231.411,0.6725,0.81287,1.07505,0.87881,0.92814,0.96935,0.84909,0.53341,0.63778,0.89156,0.008548,0.008548,0.008548
24,241.395,0.69436,0.80468,1.09792,0.92273,0.88371,0.98199,0.88971,0.44746,0.57126,0.85548,0.008482,0.008482,0.008482
25,251.344,0.6721,0.78589,1.08541,0.86738,0.88513,0.94002,0.8443,0.46255,0.73357,0.86716,0.008416,0.008416,0.008416
26,261.314,0.68421,0.76149,1.08666,0.79059,0.89536,0.96655,0.85679,0.49081,0.63479,0.8728,0.00835,0.00835,0.00835
27,271.279,0.6873,0.77815,1.08337,0.93178,0.94465,0.98095,0.88122,0.47182,0.55109,0.8761,0.008284,0.008284,0.008284
28,281.321,0.66794,0.76805,1.0812,0.97652,0.94142,0.98254,0.88424,0.47341,0.48187,0.86325,0.008218,0.008218,0.008218
29,291.282,0.65013,0.74258,1.06653,0.9532,0.94635,0.98036,0.88268,0.47561,0.49942,0.85872,0.008152,0.008152,0.008152
