epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4782,1.19425,2.08995,1.4529,0.73171,0.11594,0.06818,0.04253,0.99008,20.1701,1.25964,0.0701538,0.00331624,0.00331624
2,22.9082,1.21554,1.80052,1.4813,0.9344,0.31159,0.46015,0.30946,1.07035,4.47284,1.18945,0.0398905,0.00638625,0.00638625
3,33.1071,1.13923,1.58904,1.42835,0.37834,0.84769,0.6339,0.50715,0.71755,1.38115,0.99978,0.0093632,0.00919226,0.00919226
4,44.0717,1.06274,1.47021,1.35504,0.43398,0.83997,0.67403,0.55405,0.65356,1.3065,0.93933,0.008812,0.008812,0.008812
5,54.2297,0.96564,1.40829,1.29197,0.61119,0.84828,0.81217,0.68629,0.65179,1.16477,0.97419,0.008416,0.008416,0.008416
6,64.4379,0.94346,1.27334,1.27828,0.53247,0.88674,0.74451,0.6205,0.66934,1.04437,0.95283,0.00802,0.00802,0.00802
7,74.5048,0.9087,1.259,1.24926,0.59602,0.88782,0.65363,0.56876,0.57406,1.0914,0.92914,0.007624,0.007624,0.007624
8,84.6436,0.84461,1.15474,1.19743,0.564,0.83843,0.85998,0.75383,0.55713,0.96316,0.91323,0.007228,0.007228,0.007228
9,95.0313,0.82544,1.14252,1.19165,0.58355,0.82662,0.74002,0.6443,0.52487,1.05654,0.89855,0.006832,0.006832,0.006832
10,106.29,0.80444,1.06083,1.1639,0.85246,0.87145,0.95439,0.84161,0.5209,0.71489,0.8738,0.006436,0.006436,0.006436
11,117.211,0.75996,0.99455,1.13009,0.85869,0.86081,0.94161,0.84041,0.49465,0.67884,0.8755,0.00604,0.00604,0.00604
12,128.261,0.74883,0.97907,1.13226,0.83941,0.85151,0.92084,0.8168,0.5133,0.71451,0.88362,0.005644,0.005644,0.005644
13,139.374,0.72166,0.90505,1.12082,0.87214,0.83665,0.95195,0.85618,0.47304,0.67204,0.86688,0.005248,0.005248,0.005248
14,149.941,0.69011,0.88477,1.1047,0.90593,0.92106,0.95808,0.85476,0.47321,0.66055,0.87624,0.004852,0.004852,0.004852
15,160.816,0.6977,0.88007,1.09009,0.87129,0.92945,0.9656,0.88396,0.41602,0.61367,0.83723,0.004456,0.004456,0.004456
16,171.828,0.61699,0.81047,1.05314,0.87529,0.94501,0.97427,0.8734,0.45753,0.59449,0.86395,0.00406,0.00406,0.00406
17,181.865,0.59729,0.76889,1.02616,0.73942,0.91414,0.90512,0.81301,0.47519,0.85263,0.86279,0.003664,0.003664,0.003664
18,191.861,0.58014,0.72981,1.0178,0.86343,0.90022,0.96146,0.85614,0.4713,0.59992,0.86065,0.003268,0.003268,0.003268
19,201.959,0.54479,0.66142,0.99552,0.8209,0.89944,0.95303,0.85053,0.45942,0.69043,0.85933,0.002872,0.002872,0.002872
20,211.871,0.52152,0.62266,0.98282,0.9501,0.96481,0.98437,0.90227,0.42486,0.46826,0.85387,0.002476,0.002476,0.002476
21,221.768,0.51898,0.58629,0.97901,0.9324,0.93248,0.98091,0.89956,0.42062,0.51061,0.85132,0.00208,0.00208,0.00208
22,231.861,0.49579,0.58974,0.96819,0.9753,0.97732,0.98398,0.90134,0.40513,0.46015,0.84049,0.001684,0.001684,0.001684
23,241.778,0.47983,0.55008,0.95511,0.96117,0.95079,0.98451,0.90063,0.40956,0.47315,0.84853,0.001288,0.001288,0.001288
24,251.702,0.46388,0.50589,0.94496,0.948,0.91324,0.98355,0.91571,0.39489,0.48047,0.84056,0.000892,0.000892,0.000892
25,261.699,0.45724,0.49338,0.94505,0.97501,0.97645,0.98636,0.91605,0.38667,0.41763,0.84021,0.000496,0.000496,0.000496
