epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,460.253,0.49299,0.44701,0.97734,0.89723,0.95765,0.98051,0.90513,0.40579,0.44554,0.83003,0.004324,0.004324,0.004324
45,470.646,0.47629,0.40822,0.96296,0.94702,0.95375,0.98629,0.91635,0.39911,0.37401,0.83131,0.004192,0.004192,0.004192
46,481.228,0.46996,0.41444,0.95945,0.97578,0.96987,0.98752,0.91931,0.39802,0.32905,0.83458,0.00406,0.00406,0.00406
47,491.784,0.46681,0.42153,0.96336,0.97396,0.96116,0.98809,0.92303,0.38756,0.33511,0.83127,0.003928,0.003928,0.003928
48,501.892,0.4721,0.41745,0.96485,0.96972,0.96414,0.99008,0.9104,0.42513,0.33431,0.84085,0.003796,0.003796,0.003796
49,513.056,0.4681,0.40538,0.96038,0.98519,0.96887,0.98851,0.92832,0.3849,0.31142,0.83155,0.003664,0.003664,0.003664
50,523.762,0.4608,0.39897,0.95682,0.98409,0.99182,0.98802,0.9357,0.37012,0.30388,0.82203,0.003532,0.003532,0.003532
51,534.725,0.462,0.40771,0.95799,0.96661,0.95767,0.98713,0.9184,0.40798,0.33826,0.8351,0.0034,0.0034,0.0034
52,545.745,0.46075,0.38834,0.95729,0.98799,0.98004,0.99126,0.91635,0.40765,0.29739,0.83277,0.003268,0.003268,0.003268
53,556.27,0.45973,0.39433,0.95787,0.98786,0.97253,0.98863,0.92391,0.3809,0.3031,0.83005,0.003136,0.003136,0.003136
54,566.94,0.44606,0.37359,0.94695,0.98667,0.97614,0.99022,0.93372,0.36993,0.2928,0.82233,0.003004,0.003004,0.003004
55,577.555,0.43878,0.37478,0.94803,0.97688,0.98043,0.99029,0.92526,0.39356,0.31225,0.83186,0.002872,0.002872,0.002872
56,588.289,0.4411,0.38659,0.95332,0.97325,0.96619,0.98707,0.92093,0.40773,0.33131,0.83638,0.00274,0.00274,0.00274
57,598.771,0.44305,0.37901,0.94709,0.9894,0.98091,0.98687,0.92529,0.38071,0.29664,0.82912,0.002608,0.002608,0.002608
58,609.056,0.44652,0.37601,0.95981,0.98099,0.98413,0.98847,0.93047,0.37748,0.30028,0.82494,0.002476,0.002476,0.002476
59,620.253,0.43751,0.37078,0.9475,0.96983,0.97577,0.98723,0.9177,0.37509,0.31733,0.82524,0.002344,0.002344,0.002344
60,630.885,0.42322,0.36328,0.93698,0.97775,0.98224,0.989,0.93622,0.37267,0.29704,0.82054,0.002212,0.002212,0.002212
61,642.043,0.42469,0.35687,0.9419,0.98614,0.97837,0.99019,0.92395,0.39959,0.29141,0.83198,0.00208,0.00208,0.00208
62,652.812,0.42714,0.35202,0.94529,0.98238,0.98893,0.99042,0.93467,0.36112,0.27659,0.82357,0.001948,0.001948,0.001948
63,663.41,0.41932,0.34543,0.93562,0.98122,0.97292,0.9903,0.93487,0.38101,0.2925,0.82727,0.001816,0.001816,0.001816
64,673.723,0.42935,0.36302,0.94388,0.98207,0.97743,0.99082,0.92995,0.38765,0.29737,0.82639,0.001684,0.001684,0.001684
65,684.037,0.41145,0.34518,0.94104,0.97444,0.98841,0.98984,0.93241,0.37451,0.28141,0.82512,0.001552,0.001552,0.001552
66,694.695,0.35313,0.27928,0.87598,0.98178,0.98658,0.98937,0.92954,0.37416,0.27272,0.8233,0.00142,0.00142,0.00142
67,704.76,0.34442,0.25805,0.86905,0.98167,0.98041,0.98886,0.93551,0.35946,0.28821,0.816,0.001288,0.001288,0.001288
68,714.685,0.34962,0.25497,0.87773,0.98369,0.98599,0.99034,0.93344,0.37413,0.28037,0.82186,0.001156,0.001156,0.001156
69,724.605,0.33786,0.24428,0.8672,0.9856,0.99,0.99132,0.93955,0.36385,0.2834,0.82126,0.001024,0.001024,0.001024
70,735.136,0.33793,0.25026,0.8657,0.98646,0.9884,0.99012,0.93811,0.36348,0.28004,0.81971,0.000892,0.000892,0.000892
71,744.919,0.32894,0.24235,0.87237,0.98389,0.98144,0.98983,0.92686,0.37782,0.2809,0.82475,0.00076,0.00076,0.00076
72,755.16,0.32596,0.2384,0.86834,0.98721,0.98824,0.99042,0.93372,0.37311,0.27476,0.82438,0.000628,0.000628,0.000628
73,765.179,0.32431,0.23009,0.86513,0.98501,0.98471,0.99015,0.93726,0.37503,0.28239,0.82496,0.000496,0.000496,0.000496
74,775.135,0.31341,0.22893,0.85794,0.9877,0.98658,0.99046,0.93975,0.3628,0.27201,0.82261,0.000364,0.000364,0.000364
75,785.282,0.31562,0.22531,0.86538,0.98691,0.98694,0.99054,0.93678,0.37366,0.27516,0.82534,0.000232,0.000232,0.000232
