epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2836,0.68125,0.82462,1.07771,0.76629,0.823,0.95384,0.82848,0.56427,0.74162,0.90069,0.0701538,0.00331624,0.00331624
2,21.6651,0.73699,0.89833,1.11354,0.88942,0.8649,0.95443,0.80733,0.60618,0.78442,0.92872,0.0400222,0.00651791,0.00651791
3,32.1456,0.77401,0.95494,1.1515,0.88876,0.85433,0.95613,0.8039,0.62471,0.70974,0.93949,0.00975852,0.00958758,0.00958758
4,42.2992,0.80171,0.95694,1.16338,0.8041,0.81653,0.97154,0.84952,0.53466,0.77448,0.88869,0.009406,0.009406,0.009406
5,52.5484,0.76054,0.94645,1.13813,0.90121,0.94615,0.97082,0.82974,0.53001,0.63371,0.88169,0.009208,0.009208,0.009208
6,62.756,0.76398,0.89155,1.14093,0.81603,0.88111,0.90589,0.80067,0.52582,0.72214,0.8878,0.00901,0.00901,0.00901
7,72.9141,0.75197,0.89058,1.12922,0.83798,0.89172,0.94261,0.82904,0.54216,0.72271,0.88669,0.008812,0.008812,0.008812
8,83.1868,0.71999,0.84117,1.10444,0.83196,0.92588,0.96631,0.85508,0.511,0.69174,0.88614,0.008614,0.008614,0.008614
9,93.4546,0.72718,0.85878,1.10969,0.95183,0.88855,0.9729,0.86374,0.48211,0.58621,0.87456,0.008416,0.008416,0.008416
10,103.784,0.71006,0.80595,1.0973,0.68524,0.86814,0.9248,0.83424,0.46428,0.87325,0.84291,0.008218,0.008218,0.008218
11,114.045,0.6546,0.75688,1.06543,0.86758,0.89566,0.98011,0.88707,0.465,0.57929,0.86715,0.00802,0.00802,0.00802
12,124.257,0.6751,0.77801,1.08516,0.95621,0.95357,0.97714,0.86583,0.50692,0.53424,0.8968,0.007822,0.007822,0.007822
13,134.425,0.65322,0.71018,1.07378,0.96714,0.95976,0.98394,0.88356,0.46835,0.48701,0.86265,0.007624,0.007624,0.007624
14,144.72,0.63412,0.70355,1.05761,0.96566,0.96663,0.98359,0.88376,0.44328,0.49876,0.85198,0.007426,0.007426,0.007426
15,155.009,0.64874,0.7189,1.06174,0.95772,0.92612,0.98285,0.87861,0.49006,0.52166,0.86493,0.007228,0.007228,0.007228
16,165.216,0.61896,0.70755,1.04912,0.9191,0.95039,0.98594,0.89743,0.4391,0.51906,0.84571,0.00703,0.00703,0.00703
17,175.507,0.6327,0.71653,1.0576,0.97784,0.96117,0.98682,0.88921,0.47575,0.46802,0.86148,0.006832,0.006832,0.006832
18,185.711,0.63137,0.69401,1.04624,0.97245,0.95335,0.98596,0.89527,0.44396,0.44692,0.85332,0.006634,0.006634,0.006634
