epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6504,1.19425,2.08995,1.4529,0.73171,0.11594,0.06818,0.04253,0.99008,20.1701,1.25964,0.0701538,0.00331624,0.00331624
2,23.6298,1.23224,1.84806,1.50386,0.92723,0.27247,0.43568,0.29653,0.95063,3.36701,1.20213,0.0401209,0.00661666,0.00661666
3,33.6961,1.14591,1.6579,1.44181,0.47071,0.80623,0.5837,0.43352,0.96857,2.12631,1.18905,0.010055,0.00988408,0.00988408
4,43.7775,1.09342,1.57367,1.3955,0.55136,0.83414,0.67309,0.52678,0.77462,1.2393,1.04509,0.0098515,0.0098515,0.0098515
5,53.816,1.00455,1.47247,1.33171,0.5698,0.8026,0.6554,0.55781,0.62177,1.36759,0.97865,0.009802,0.009802,0.009802
6,63.8203,0.97513,1.34221,1.30441,0.55677,0.83426,0.69439,0.59012,0.62933,1.08029,0.96357,0.0097525,0.0097525,0.0097525
7,73.8184,0.93695,1.32754,1.27194,0.6141,0.7921,0.70036,0.58851,0.64695,1.11387,1.00348,0.009703,0.009703,0.009703
8,83.9572,0.88367,1.22385,1.22723,0.60444,0.84098,0.75527,0.63344,0.64135,1.07787,0.95443,0.0096535,0.0096535,0.0096535
9,94.0114,0.87411,1.21827,1.22143,0.66241,0.83481,0.80336,0.6968,0.52787,0.95681,0.91055,0.009604,0.009604,0.009604
10,104.555,0.86717,1.14249,1.20568,0.81989,0.78054,0.91775,0.80788,0.54205,0.81637,0.92294,0.0095545,0.0095545,0.0095545
11,115.429,0.83097,1.09636,1.18439,0.60719,0.73041,0.7812,0.67681,0.55069,1.17775,0.90779,0.009505,0.009505,0.009505
12,126.547,0.80748,1.08115,1.17545,0.80387,0.88132,0.91673,0.80849,0.52619,0.79664,0.9039,0.0094555,0.0094555,0.0094555
