epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9624,1.21453,2.2653,1.53948,0.53509,0.16667,0.23684,0.10698,1.84127,17.7303,1.94708,0.0701538,0.00331624,0.00331624
2,23.0738,1.27964,1.98108,1.6023,0.43873,0.67151,0.5212,0.38522,0.98928,3.13704,1.16043,0.0394955,0.00599126,0.00599126
3,33.3271,1.1316,1.73178,1.45709,0.38289,0.72373,0.52948,0.41742,0.79513,1.84606,1.07754,0.00817723,0.00800629,0.00800629
4,43.1548,0.99692,1.56396,1.34593,0.45608,0.78543,0.65575,0.52093,0.75623,1.39185,1.03165,0.00703,0.00703,0.00703
5,52.8562,0.89976,1.43224,1.26207,0.47825,0.81522,0.664,0.54344,0.7008,1.16654,0.98659,0.00604,0.00604,0.00604
6,62.5912,0.85974,1.31662,1.22769,0.60731,0.83991,0.70237,0.59867,0.62797,1.08338,0.95567,0.00505,0.00505,0.00505
7,72.329,0.79743,1.2098,1.19464,0.56019,0.90365,0.69349,0.58806,0.64842,1.05692,0.95573,0.00406,0.00406,0.00406
8,82.0527,0.73047,1.10697,1.13273,0.57542,0.90338,0.67156,0.57609,0.6013,1.15934,0.94551,0.00307,0.00307,0.00307
9,91.7825,0.66621,1.00561,1.09819,0.6218,0.89037,0.77461,0.69381,0.50177,0.87496,0.89906,0.00208,0.00208,0.00208
10,101.609,0.62082,0.94431,1.06133,0.6589,0.92289,0.76205,0.67943,0.50338,0.92366,0.90177,0.00109,0.00109,0.00109
