epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1781,1.19425,2.08995,1.4529,0.73171,0.11594,0.06818,0.04253,0.99008,20.1701,1.25964,0.0701538,0.00331624,0.00331624
2,26.1881,1.24055,1.84357,1.51062,0.35773,0.34549,0.32796,0.21648,1.02988,6.32051,1.24345,0.040088,0.00658374,0.00658374
3,38.2155,1.14431,1.65836,1.4361,0.45531,0.71283,0.60057,0.48657,0.75422,1.7008,1.05833,0.00995618,0.00978524,0.00978524
4,50.0206,1.08042,1.54453,1.37317,0.42673,0.85139,0.63793,0.52316,0.69252,1.25604,1.02368,0.009703,0.009703,0.009703
5,62.2169,0.99652,1.48171,1.32052,0.60398,0.85225,0.67976,0.57631,0.64087,1.12874,0.96198,0.009604,0.009604,0.009604
6,74.0493,0.95442,1.33906,1.29026,0.48705,0.85912,0.69528,0.58552,0.636,1.12516,0.95333,0.009505,0.009505,0.009505
7,85.7698,0.9392,1.31538,1.26709,0.67254,0.89546,0.75319,0.64094,0.62934,0.98556,0.94764,0.009406,0.009406,0.009406
8,97.2914,0.87288,1.19333,1.21567,0.52896,0.87606,0.81218,0.68542,0.59916,0.9927,0.94152,0.009307,0.009307,0.009307
9,108.659,0.86017,1.20021,1.21376,0.59267,0.86281,0.77314,0.68365,0.51397,0.96638,0.88557,0.009208,0.009208,0.009208
10,120.117,0.84689,1.14318,1.1945,0.78453,0.86915,0.90244,0.79798,0.53866,0.923,0.90053,0.009109,0.009109,0.009109
11,131.568,0.81968,1.07457,1.16877,0.77139,0.86352,0.8979,0.7918,0.53069,0.79789,0.88817,0.00901,0.00901,0.00901
12,142.982,0.80635,1.07895,1.17654,0.43021,0.77415,0.7371,0.60725,0.63827,1.34269,0.94137,0.008911,0.008911,0.008911
13,154.343,0.77764,0.99472,1.15494,0.82356,0.84204,0.92229,0.82319,0.4888,0.72388,0.87032,0.008812,0.008812,0.008812
14,165.811,0.75328,0.97724,1.14822,0.91393,0.91524,0.96365,0.84501,0.54983,0.67434,0.91137,0.008713,0.008713,0.008713
15,177.685,0.77001,0.99984,1.14258,0.77467,0.91156,0.95001,0.85212,0.47498,0.70024,0.86248,0.008614,0.008614,0.008614
16,189.214,0.73639,0.93289,1.13026,0.9029,0.92086,0.96584,0.84829,0.5267,0.63256,0.88561,0.008515,0.008515,0.008515
17,200.849,0.73379,0.91063,1.12344,0.80831,0.89845,0.96472,0.86387,0.47906,0.65836,0.86998,0.008416,0.008416,0.008416
